County,Population,No Education,High School Education,GED education,Associate Education,Bachelor Education,Masters Education,Professional Education,Doctorate Education,College,College Rate
Alameda,1605217.0,26836.0,182207.0,18164.0,74447.0,282754.0,141689.0,32639.0,31512.0,563041.0,35.075693815851686
Alpine,1184.0,5.0,189.0,68.0,46.0,140.0,67.0,8.0,20.0,281.0,23.73310810810811
Amador,36963.0,279.0,6562.0,1131.0,2554.0,4212.0,1192.0,540.0,240.0,8738.0,23.639856072288506
Butte,223877.0,2749.0,27537.0,5238.0,14030.0,25225.0,8002.0,2915.0,1611.0,51783.0,23.13011162379342
Calaveras,44787.0,310.0,8057.0,1158.0,3692.0,4645.0,1550.0,424.0,226.0,10537.0,23.526916292674212
Colusa,21361.0,395.0,2712.0,214.0,1331.0,1474.0,233.0,195.0,30.0,3263.0,15.275502083235803
Contra Costa,1107925.0,12041.0,121647.0,15145.0,61945.0,192616.0,73252.0,22496.0,14818.0,365127.0,32.95593113252251
Del Norte,27628.0,210.0,4703.0,1260.0,1659.0,1688.0,678.0,311.0,214.0,4550.0,16.468799768350948
El Dorado,183000.0,1138.0,24533.0,3823.0,13770.0,27316.0,10371.0,3390.0,1900.0,56747.0,31.00928961748634
Fresno,963160.0,26749.0,114262.0,17448.0,47219.0,76303.0,24116.0,8969.0,4887.0,161494.0,16.767099962623032
Glenn,27976.0,499.0,4171.0,807.0,1318.0,1703.0,357.0,147.0,62.0,3587.0,12.821704317986846
Humboldt,135182.0,742.0,19343.0,3143.0,8182.0,17031.0,5389.0,1872.0,1366.0,33840.0,25.032918583835126
Imperial,178807.0,4316.0,20118.0,4086.0,7027.0,10576.0,3627.0,680.0,146.0,22056.0,12.335087552500742
Inyo,18326.0,277.0,3829.0,302.0,1024.0,1991.0,973.0,129.0,148.0,4265.0,23.272945541853105
Kern,871337.0,16114.0,120917.0,20291.0,37205.0,54412.0,18553.0,5182.0,3122.0,118474.0,13.596805828284579
Kings,150261.0,2232.0,20156.0,4094.0,7085.0,8378.0,2128.0,969.0,268.0,18828.0,12.53019745642582
Lake,64076.0,655.0,10868.0,1993.0,5695.0,4821.0,1810.0,528.0,309.0,13163.0,20.5427929333916
Lassen,31945.0,133.0,4981.0,2069.0,2162.0,1749.0,728.0,281.0,103.0,5023.0,15.72390045390515
Los Angeles,10057155.0,224593.0,1273072.0,114908.0,462091.0,1348250.0,474729.0,155849.0,86083.0,2527002.0,25.126410003624287
Madera,153366.0,3875.0,21180.0,3469.0,7520.0,8636.0,2558.0,784.0,518.0,20016.0,13.051132584797152
Marin,259358.0,1896.0,18946.0,2426.0,11753.0,61100.0,28898.0,12285.0,6010.0,120046.0,46.28582885432491
Mariposa,17645.0,81.0,3357.0,482.0,1105.0,1879.0,839.0,210.0,137.0,4170.0,23.632757155001418
Mendocino,87409.0,627.0,13991.0,2167.0,4816.0,9665.0,3374.0,1139.0,669.0,19663.0,22.49539521101946
Merced,265001.0,6932.0,33137.0,5734.0,11116.0,13682.0,4956.0,1238.0,1165.0,32157.0,12.134671189920038
Modoc,9033.0,17.0,1590.0,220.0,826.0,926.0,208.0,61.0,26.0,2047.0,22.66135281744714
Mono,14051.0,11.0,1530.0,141.0,708.0,2063.0,539.0,224.0,20.0,3554.0,25.293573411145115
Monterey,430201.0,8956.0,45890.0,9196.0,21913.0,38978.0,16843.0,4788.0,3361.0,85883.0,19.963458941285584
Napa,140823.0,1989.0,15919.0,2354.0,8564.0,21345.0,6815.0,2523.0,1452.0,40699.0,28.900818758299426
Nevada,98639.0,376.0,12579.0,1989.0,7944.0,16694.0,6092.0,1966.0,818.0,33514.0,33.976419063453605
Orange,3132211.0,47340.0,331483.0,34440.0,163428.0,520755.0,195472.0,58548.0,32797.0,971000.0,31.00046580514531
Placer,370571.0,1547.0,44205.0,5083.0,29708.0,63509.0,21583.0,6611.0,2986.0,124397.0,33.569005669628766
Plumas,18754.0,127.0,3040.0,419.0,1723.0,1828.0,988.0,271.0,94.0,4904.0,26.1490881945185
Riverside,2323892.0,35756.0,337537.0,42749.0,115356.0,198192.0,79849.0,20311.0,12893.0,426601.0,18.357178388668665
Sacramento,1479300.0,27455.0,190520.0,28724.0,94393.0,189759.0,64859.0,22097.0,9868.0,380976.0,25.753802474143175
San Benito,58051.0,1001.0,7903.0,1129.0,3005.0,4777.0,1439.0,500.0,233.0,9954.0,17.146991438562644
San Bernardino,2106754.0,30062.0,297696.0,41514.0,106522.0,162213.0,63738.0,14542.0,9429.0,356444.0,16.91910873315062
San Diego,3253356.0,41486.0,359018.0,47612.0,187464.0,487026.0,199234.0,58066.0,44596.0,976386.0,30.011655656497474
San Francisco,850282.0,20036.0,74280.0,9109.0,36363.0,220335.0,95666.0,32831.0,17732.0,402927.0,47.38745498552245
San Joaquin,714860.0,16367.0,100593.0,17227.0,41649.0,55004.0,16993.0,5472.0,2828.0,121946.0,17.05872478527264
San Luis Obispo,278680.0,2030.0,30903.0,4801.0,18436.0,39994.0,15020.0,4296.0,3476.0,81222.0,29.145256207836944
San Mateo,754748.0,11351.0,76639.0,8753.0,39861.0,148547.0,66121.0,20918.0,16375.0,291822.0,38.66482587565651
Santa Barbara,439395.0,6760.0,41809.0,6567.0,21096.0,51832.0,22062.0,7146.0,6101.0,108237.0,24.63318881644079
Santa Clara,1885056.0,28948.0,168399.0,21352.0,89726.0,342701.0,208794.0,34369.0,44998.0,720588.0,38.226344469342024
Santa Cruz,270931.0,3140.0,23374.0,3769.0,16140.0,40953.0,18085.0,4872.0,4476.0,84526.0,31.19834939523347
Shasta,179228.0,977.0,27310.0,4570.0,14458.0,16539.0,5537.0,2228.0,857.0,39619.0,22.105363001316757
Sierra,2931.0,0.0,607.0,25.0,287.0,352.0,82.0,20.0,17.0,758.0,25.861480723302627
Siskiyou,43668.0,289.0,7064.0,1006.0,3217.0,4715.0,1640.0,491.0,183.0,10246.0,23.463405697535954
Solano,429596.0,4354.0,58798.0,9249.0,28686.0,50923.0,14765.0,4536.0,2445.0,101355.0,23.59309676998855
Sonoma,497776.0,6288.0,59394.0,8719.0,33159.0,74393.0,26826.0,10000.0,4723.0,149101.0,29.953432869403105
Stanislaus,530561.0,10545.0,80455.0,12799.0,25807.0,36783.0,11983.0,4428.0,1544.0,80545.0,15.181100759384877
Sutter,95406.0,2624.0,13276.0,1674.0,6903.0,7623.0,2310.0,766.0,269.0,17871.0,18.731526319099427
Tehama,63015.0,1021.0,11436.0,1880.0,3208.0,3939.0,1353.0,441.0,179.0,9120.0,14.472744584622708
Trinity,13180.0,73.0,2862.0,443.0,858.0,1594.0,339.0,72.0,39.0,2902.0,22.018209408194235
Tulare,455769.0,12947.0,58274.0,8445.0,19182.0,24659.0,8033.0,2901.0,1220.0,55995.0,12.285829005483041
Tuolumne,53864.0,200.0,9655.0,1993.0,3920.0,5312.0,1929.0,538.0,255.0,11954.0,22.192930343086292
Ventura,843110.0,11591.0,94160.0,10034.0,49414.0,111571.0,45763.0,12888.0,8589.0,228225.0,27.06942154641743
Yolo,209671.0,2796.0,20263.0,3243.0,8049.0,25078.0,12765.0,4541.0,6541.0,56974.0,27.173047297909584
Yuba,73897.0,945.0,9343.0,1777.0,4814.0,4885.0,1693.0,432.0,99.0,11923.0,16.134619808652584
